Date,open,high,low,close,volume,market_cap,year_week
2017-02-08,1049.72030256,1066.01956329,1025.94322414,1050.4633753,88067.25537741,92511426.3372474,2017-week(06)
2017-02-09,1050.77992783,1075.06134471,944.41012083,982.95467934,198703.2214779,195316261.35102168,2017-week(06)
2017-02-10,993.9175787466667,1005.1554560066667,976.9890281066668,998.4060057433334,52036.83627052,51885127.97488287,2017-week(06)
2017-02-13,996.21500144,1001.86454186,976.71479439,996.79838328,47603.94785363,47451538.25802797,2017-week(07)
2017-02-14,996.34428347,1015.08308971,990.8448608,1009.38100765,54826.77326848,55341103.64802562,2017-week(07)
2017-02-15,1009.66148117,1012.21823892,1002.90113465,1010.44191202,32359.41928425,32697313.49341777,2017-week(07)
2017-02-16,1010.36642475,1040.20063098,1010.28030382,1035.12102413,54385.51477684,56295589.75384274,2017-week(07)
2017-02-17,1047.5467632466668,1060.0087109666665,1042.3287232599998,1052.9182427066664,42392.64668207,44638898.77759968,2017-week(07)
2017-02-20,1050.72084343,1084.82438034,1043.43633397,1084.33658853,44320.45425842,48058290.17256597,2017-week(08)
2017-02-21,1081.61777088,1126.12212123,1077.74027231,1123.36024584,81432.30940747,91477819.11498871,2017-week(08)
2017-02-22,1123.58795554,1133.8095401,1102.83325797,1123.69762712,68916.68082005,77441510.70614092,2017-week(08)
2017-02-23,1123.26558099,1184.68121646,1119.81905048,1170.89112823,90840.88918232,106364791.22411668,2017-week(08)
2017-02-24,1169.1080415466665,1188.7023581600001,1126.37264839,1167.6929781366669,91451.29104685667,107148784.39902236,2017-week(08)
2017-02-27,1173.41672263,1193.99912141,1171.32588655,1190.47332662,47123.95617065,56099812.86596333,2017-week(09)
2017-02-28,1190.89303634,1207.26207997,1181.0197492,1188.03507724,62946.67906388,74782862.7236642,2017-week(09)
2017-03-01,1188.03775705,1224.9761708,1185.78147246,1222.55212718,70893.76631621,86671324.81366871,2017-week(09)
2017-03-02,1224.84679655,1278.37679679,1213.93145958,1255.67819643,112440.977623,141189683.98691025,2017-week(09)
2017-03-03,1268.956718936667,1282.7596671333333,1247.56224799,1275.2490216366668,59520.18288034666,76032104.70062232,2017-week(09)
2017-03-06,1273.5430914,1280.57101011,1267.5445272,1277.45142842,44072.10399376,56299972.20018938,2017-week(10)
2017-03-07,1277.59814548,1278.23627475,1193.006444,1233.13043836,125587.86744802,154866222.03855142,2017-week(10)
2017-03-08,1232.6066244,1240.67520606,1148.93081622,1150.74431133,136659.81716093,157260507.1847098,2017-week(10)
2017-03-09,1151.12514049,1206.41759581,1137.5416794,1192.63244537,84250.75594531,100480185.08768176,2017-week(10)
2017-03-10,1161.9462445033332,1237.9575662,1111.9330486733334,1171.0027260966665,149106.43276400332,170175548.2940341,2017-week(10)
2017-03-13,1225.00016573,1245.03566034,1214.36779278,1238.08703828,77939.90831677,96496390.25176288,2017-week(11)
2017-03-14,1239.0061737,1252.12717559,1225.56332214,1243.44474226,56011.78062522,69647554.12289128,2017-week(11)
2017-03-15,1243.24656719,1255.49601162,1242.0698803,1253.22808963,58290.17594411,73050885.84245385,2017-week(11)
2017-03-16,1253.33620575,1255.13712569,1138.83901033,1179.9149206,149954.3588179,176933385.37847757,2017-week(11)
2017-03-17,1074.3302900066667,1111.8059736566665,998.90620501,1024.28592528,185248.85857190666,188969433.60184547,2017-week(11)
2017-03-20,1024.10421511,1057.00195656,1020.81282385,1048.42978828,84543.65701359,88638088.42324299,2017-week(12)
2017-03-21,1049.60282887,1124.72912019,1049.60282887,1121.30647653,111355.01867757,124863103.63776362,2017-week(12)
2017-03-22,1122.14376737,1122.14376737,1002.56005286,1043.25190447,128124.51643755,133666145.7826808,2017-week(12)
2017-03-23,1044.86574228,1059.26415694,1024.97437748,1037.54683056,70446.63349213,73091681.30330504,2017-week(12)
